SAMPLE_ID,Cisplatin_1005,Docetaxel_1007,Paclitaxel_1080,Gemcitabine_1190,Tamoxifen_1199,Lapatinib_1558,Vinblastine_1004,OSI-027_1594,Daporinad_1248,Venetoclax_1909,ABT737_1910,AZD5991_1720,Fulvestrant_1816
MB-0362,1.622524,-6.978684,-2.9764295,-5.0055475,3.2378232,5.161149,-10.904503,-1.1201077,-7.280079,-2.5369842,-6.463009,-3.4793081,3.9932852
MB-0346,2.1847343,-6.830968,-2.9394422,-6.5036097,5.6603713,5.757596,-11.143247,10.522831,-13.18753,-1.534637,-3.4010155,0.2528062,4.444684
MB-0386,0.9735724,-7.735335,-4.3077426,-8.995058,4.5065937,4.124155,-12.882907,-6.4488983,-6.7481365,-1.5448754,-3.1028142,-4.8298492,4.700852
MB-0574,0.5073917,-6.8805323,-4.083068,-8.16032,3.650749,3.218471,-11.760836,-7.1742053,-7.185752,-1.5269113,-3.589187,-4.899987,3.8840005
MB-0185,1.9759978,-5.384405,-2.2757943,-7.7856255,4.9090815,4.659857,-9.725233,0.9622226,-8.592296,-1.0783654,-3.7744908,-1.9865565,4.9907455
MB-0503,0.7066697,-8.019528,-4.628467,-9.243874,3.634277,3.8277497,-13.5974655,-8.679658,-4.573577,-1.4957262,-4.6122427,-4.7748256,4.122855
MB-0641,0.3701284,-8.720341,-5.0333824,-9.841627,3.8030543,7.208767,-13.506076,-0.052796364,-7.7714677,-3.2882798,-7.3217454,-5.397881,4.852595
MB-0201,1.8429579,-7.2779126,-3.5107331,-6.678266,4.422578,6.9293294,-11.126145,-3.9516387,-7.9412766,-1.8811538,-6.7726927,-1.6903605,5.7907386
MB-0218,0.82697254,-6.0842586,-2.7213955,-7.843393,3.3613548,2.6364038,-11.729129,-10.371212,-4.8133163,-0.467286,-3.407323,-4.0517983,4.012212
MB-0316,1.7272068,-6.899201,-2.5907123,-7.8273296,3.7118278,6.1186457,-12.718208,-1.9843895,-5.5974793,-2.6250613,-6.8840923,-3.7490559,4.8219967
MB-0189,0.7578148,-8.074612,-4.9294877,-9.942553,3.4719393,4.9587107,-13.139305,-8.559807,-5.5567365,-1.8247446,-4.699964,-5.895774,4.25368
MB-0891,-0.5083772,-9.189666,-5.5042615,-11.07457,3.4251552,5.489274,-13.9644575,-5.6023045,-8.093937,-2.5484056,-6.7443914,-6.1211224,3.3417878
MB-0658,1.4869336,-6.442507,-2.1770117,-5.1752853,3.43584,5.6340694,-11.98127,-2.339487,-6.469413,-3.1462996,-3.8930278,-3.1706338,4.967266
MB-0899,0.9039078,-7.7462497,-4.0351624,-7.6508327,3.348778,4.43861,-12.284938,-3.2145712,-7.858941,-2.1857429,-6.6777487,-5.267467,3.7860107
MB-0605,-0.3279134,-8.283031,-4.6990786,-8.5393715,2.2521296,4.26252,-13.483791,-7.870779,-6.687431,-4.0403094,-6.3624105,-5.37178,3.1968348
MB-0258,2.4421275,-6.0783286,-1.872092,-1.795877,4.756813,4.3086915,-9.280095,-9.236036,-9.020378,-0.82821095,-4.7061634,-3.133037,3.9171278
MB-0506,4.098784,-5.753302,-1.7186451,-2.036912,5.7705626,6.052921,-8.979588,4.590989,-9.13109,-0.6087185,-5.9652157,0.7467866,5.935713
MB-0420,2.045105,-5.991899,-1.3207779,-6.0871596,4.8333035,5.968661,-9.926839,-3.717768,-4.7334337,-1.6183581,-2.7835135,-1.7892895,5.795886
