drug,threshold,nb_model,nb_treat_all
Doxorubicin,0.05,-0.02631578944598338,0.05817174520192447
Doxorubicin,0.06,-0.031914893583069266,0.04815229569345499
Doxorubicin,0.07,-0.03565365021633168,0.037917374152777
Doxorubicin,0.08,-0.04118993130534275,0.02745995431797829
Doxorubicin,0.09,-0.04684788890167091,0.01677270108046955
Doxorubicin,0.09999999999999999,-0.049707602283950617,0.005847953326835603
Doxorubicin,0.10999999999999999,-0.048787699531226116,-0.005322294376042369
Doxorubicin,0.12,-0.053827751135004355,-0.01674641134460636
Doxorubicin,0.13,-0.05505142159431477,-0.02843315169145616
Doxorubicin,0.13999999999999999,-0.05997552012609945,-0.04039167669721899
Doxorubicin,0.14999999999999997,-0.06037151695683845,-0.05263157876160987
Doxorubicin,0.15999999999999998,-0.06015037586824202,-0.06516290706528224
Doxorubicin,0.16999999999999998,-0.06467977164052531,-0.07799619508675154
Doxorubicin,0.18,-0.06931964048029055,-0.09114249013275305
Doxorubicin,0.19,-0.0740740739826246,-0.10461338505603288
Doxorubicin,0.19999999999999996,-0.0789473683223684,-0.11842105235197364
Doxorubicin,0.20999999999999996,-0.08394403720220273,-0.13257828084483758
Doxorubicin,0.21999999999999997,-0.08906882579674036,-0.1470985151960275
Doxorubicin,0.22999999999999998,-0.09432672578317103,-0.16199589849091445
Doxorubicin,0.24,-0.09972299155853621,-0.17728531818778248
Doxorubicin,0.24999999999999994,-0.10526315775438594,-0.19298245574269002
Doxorubicin,0.25999999999999995,-0.10170696999058089,-0.20910384025796774
Doxorubicin,0.26999999999999996,-0.10706560908188562,-0.2256669065401823
Doxorubicin,0.27999999999999997,-0.11257309925885316,-0.2426900579962638
Doxorubicin,0.29,-0.11823573000396746,-0.26019273484479893
Doxorubicin,0.3,-0.12406015019871107,-0.27819548817400647
Doxorubicin,0.30999999999999994,-0.13005339416697065,-0.296720060439536
Doxorubicin,0.31999999999999995,-0.13622291001639045,-0.3157894730650154
Doxorubicin,0.32999999999999996,-0.14257659051775684,-0.33542812188742066
Doxorubicin,0.33999999999999997,-0.1491228067916002,-0.35566188127930015
Doxorubicin,0.3499999999999999,-0.15587044510432882,-0.37651821788227946
Doxorubicin,0.35999999999999993,-0.16282894711400078,-0.3980263150030837
Doxorubicin,0.36999999999999994,-0.17000835394902594,-0.4202172088567979
Doxorubicin,0.37999999999999995,-0.17741935455254937,-0.4431239379949612
Doxorubicin,0.38999999999999996,-0.18507333878201954,-0.46678170743150527
Doxorubicin,0.3999999999999999,-0.1929824558187134,-0.49122806918128636
Doxorubicin,0.4099999999999999,-0.2011596785172137,-0.5165031211584691
Doxorubicin,0.41999999999999993,-0.20961887441172786,-0.5426497266506037
Doxorubicin,0.42999999999999994,-0.21837488419675685,-0.5697137568952388
Doxorubicin,0.43999999999999995,-0.22744360861640706,-0.597744359646885
Doxorubicin,0.4499999999999999,-0.21531100439321438,-0.626794257042192
Doxorubicin,0.4599999999999999,-0.201754385591293,-0.6569200765612591
Doxorubicin,0.4699999999999999,-0.18669314761199898,-0.6881827194562589
Doxorubicin,0.4799999999999999,-0.19433198343195263,-0.7206477716910619
Doxorubicin,0.48999999999999994,-0.20227038144033668,-0.7543859632266942
Doxorubicin,0.49999999999999994,-0.21052631536842104,-0.7894736824210526
Doxorubicin,0.5099999999999999,-0.2191192261908414,-0.8259935534163392
Doxorubicin,0.5199999999999999,-0.22807017496345017,-0.8640350856999265
Doxorubicin,0.5299999999999999,-0.23740201517238083,-0.9036954065878816
Doxorubicin,0.5399999999999999,-0.2162471391179981,-0.9450800892498253
Doxorubicin,0.5499999999999999,-0.2251461983300844,-0.9883040911371018
Doxorubicin,0.5599999999999999,-0.23444976023270978,-1.033492820378425
Doxorubicin,0.57,-0.24418604594375332,-1.0807833509749223
Doxorubicin,0.58,-0.25438596430659977,-1.1303258115944623
Doxorubicin,0.59,-0.26508343966154224,-1.1822849776041826
Doxorubicin,0.6,-0.27631578878289464,-1.2368421019078943
Cyclophosphamide,0.05,-0.01569713756427079,0.0027700831549788488
Cyclophosphamide,0.06,-0.019036954067093947,-0.007838745736341773
Cyclophosphamide,0.07,-0.022448594580653278,-0.018675721485294935
Cyclophosphamide,0.08,-0.024408848180943854,-0.029748283663317096
Cyclophosphamide,0.09,-0.02602660494537273,-0.04106419885597341
Cyclophosphamide,0.09999999999999999,-0.029239766049382714,-0.052631578830409365
Cyclophosphamide,0.10999999999999999,-0.03252513302081741,-0.06445889992757427
Cyclophosphamide,0.12,-0.03588516742333624,-0.07655502377664203
Cyclophosphamide,0.13,-0.039322443995939114,-0.08892921943801244
Cyclophosphamide,0.13999999999999999,-0.04283965723292818,-0.10159118709117304
Cyclophosphamide,0.14999999999999997,-0.046439628428337265,-0.11455108339464576
Cyclophosphamide,0.15999999999999998,-0.050125313223535015,-0.12781954865735767
Cyclophosphamide,0.16999999999999998,-0.053899809700437756,-0.14140773597420753
Cyclophosphamide,0.18,-0.05776636706690879,-0.15532734249350325
Cyclophosphamide,0.19,-0.0617283949855205,-0.1695906430005054
Cyclophosphamide,0.19999999999999996,-0.05701754378837718,-0.1842105260197368
Cyclophosphamide,0.20999999999999996,-0.05596269146813515,-0.19920053265923982
Cyclophosphamide,0.21999999999999997,-0.054430949098008,-0.21457489844285266
Cyclophosphamide,0.22999999999999998,-0.05764411020082674,-0.23034859840214472
Cyclophosphamide,0.24,-0.060941828174661025,-0.2465373957282403
Cyclophosphamide,0.24999999999999994,-0.06432748529434697,-0.26315789431578945
Cyclophosphamide,0.25999999999999995,-0.06780464666038725,-0.28022759556725996
Cyclophosphamide,0.26999999999999996,-0.07137707272125707,-0.29776495986607543
Cyclophosphamide,0.27999999999999997,-0.07504873283923544,-0.31578947317251466
Cyclophosphamide,0.29,-0.07882382000264497,-0.3343217192474342
Cyclophosphamide,0.3,-0.0827067667991407,-0.3533834580665951
Cyclophosphamide,0.30999999999999994,-0.08670226277798042,-0.37299771105362645
Cyclophosphamide,0.31999999999999995,-0.09081527334426029,-0.39318885383354574
Cyclophosphamide,0.32999999999999996,-0.08641005485924656,-0.4139827172925631
Cyclophosphamide,0.33999999999999997,-0.09037745866157587,-0.43540669782514135
Cyclophosphamide,0.3499999999999999,-0.09446693642686593,-0.4574898777577077
Cyclophosphamide,0.35999999999999993,-0.09868421037212168,-0.4802631570620887
Cyclophosphamide,0.36999999999999994,-0.1030353660297127,-0.5037593976130801
Cyclophosphamide,0.37999999999999995,-0.10752688154699962,-0.5280135814064295
Cyclophosphamide,0.38999999999999996,-0.11216565986789061,-0.553062984339241
Cyclophosphamide,0.3999999999999999,-0.11695906413255355,-0.5789473673684209
Cyclophosphamide,0.4099999999999999,-0.12191495667709919,-0.6057091871089673
Cyclophosphamide,0.41999999999999993,-0.12704174206771385,-0.6333938282182865
Cyclophosphamide,0.42999999999999994,-0.13234841466470113,-0.6620498602420177
Cyclophosphamide,0.43999999999999995,-0.13784461128267092,-0.6917293219790548
Cyclophosphamide,0.4499999999999999,-0.12918660263592863,-0.7224880368682034
Cyclophosphamide,0.4599999999999999,-0.13450292372752867,-0.7543859634178036
Cyclophosphamide,0.4699999999999999,-0.14001986070899924,-0.7874875853066272
Cyclophosphamide,0.4799999999999999,-0.12955465562130175,-0.8218623464964185
Cyclophosphamide,0.48999999999999994,-0.13484692096022446,-0.8575851375341468
Cyclophosphamide,0.49999999999999994,-0.1228070172982456,-0.8947368402105262
Cyclophosphamide,0.5099999999999999,-0.12781954861132416,-0.9334049389114181
Cyclophosphamide,0.5199999999999999,-0.13304093539534595,-0.9736842083881576
Cyclophosphamide,0.5299999999999999,-0.13848450885055547,-1.0156774893283456
Cyclophosphamide,0.5399999999999999,-0.14416475941199874,-1.0594965650880506
Cyclophosphamide,0.5499999999999999,-0.12865497047433394,-1.1052631553216372
Cyclophosphamide,0.5599999999999999,-0.13397129156154844,-1.1531100451065677
Cyclophosphamide,0.57,-0.13953488339643047,-1.203182371620506
Cyclophosphamide,0.58,-0.14536340817519985,-1.2556390946294307
Cyclophosphamide,0.59,-0.151476251235167,-1.3106546821691347
Cyclophosphamide,0.6,-0.15789473644736837,-1.3684210490789472
Paclitaxel,0.05,0.011278195514443999,0.06015037598931538
Paclitaxel,0.06,0.010638297899017005,0.050151975744519156
Paclitaxel,0.07,0.008832565313083258,0.03993855613985099
